region,woreda,Total Households,Total Population,GPS Coordinates Count,Avg Distance to HF,Total Male U5,Total Female U5,Total U5 Children,Vaccinated U5 Children,Zero Dose Children,Under Vaccinated Children,Screened Children for malnutrition,Malnourished Children,Eligible Girls 9‑14,HPV Vaccinated Girls 9‑14,Eligible Pregnant Women,Td Vaccinated Pregnant Women,COVID Eligible (>12),COVID 1st Dose,COVID 2nd Dose,COVID All Doses,Above 12 Yrs,> 60 Yrs,Immunocompromised,Comorbidities,Informed High Risk,Avg Family Size
OromiyaRegion,DarimuWoreda,35871,174037.0,32915,4.954392127345209,11906.0,9409.0,21315.0,2091,290.0,316.0,13957,1523.0,10857.0,8127,2176.0,1502.0,78828,33342.0,36826.0,29566.0,78828,1015.0,202.0,147.0,122.0,4.85
OromiyaRegion,DaroLebuWoreda,6762,33392.0,4180,2.3559597752144334,4975.0,3678.0,8653.0,1421,450.0,114.0,3855,613.0,3280.0,1883,812.0,589.0,6889,2274.0,1869.0,1328.0,6889,62.0,33.0,40.0,37.0,4.94
OromiyaRegion,GechiWoreda,17497,89549.0,14583,4.1008115213167216,6711.0,5262.0,11973.0,1641,50.0,59.0,7923,306.0,5484.0,4184,1098.0,951.0,36030,20463.0,13680.0,6767.0,36030,613.0,944.0,58.0,13.0,5.12
OromiyaRegion,GemechisWoreda,1477,6691.0,1115,2.8645903859174,855.0,647.0,1502.0,229,25.0,18.0,760,45.0,408.0,299,62.0,54.0,740,482.0,433.0,271.0,740,25.0,9.0,0.0,0.0,4.53
OromiyaRegion,HabroWoreda,35011,179967.0,26508,2.8682699722944216,17241.0,13252.0,30493.0,3722,837.0,460.0,16058,712.0,12802.0,8823,2618.0,1748.0,66347,33318.0,30363.0,20589.0,66347,1358.0,29.0,216.0,57.0,5.14
OromiyaRegion,HurrumuuWoreda,9893,38880.0,9598,2.979278277569999,2302.0,2000.0,4302.0,641,23.0,24.0,3592,188.0,1845.0,1445,306.0,264.0,22373,6897.0,6171.0,5567.0,22373,728.0,10.0,148.0,18.0,3.93
OromiyaRegion,KersaWoreda,23537,126022.0,22711,3.2099247992522413,9729.0,7545.0,17274.0,3047,131.0,112.0,9842,421.0,8374.0,5812,1199.0,987.0,60485,33583.0,30923.0,21926.0,60485,626.0,15.0,31.0,28.0,5.35
OromiyaRegion,ManaWoreda,26414,133030.0,21611,3.283437440848003,7980.0,6106.0,14086.0,1959,112.0,71.0,10043,641.0,7738.0,6158,1821.0,1408.0,71841,51284.0,44146.0,31139.0,71841,1103.0,56.0,21.0,14.0,5.04
OromiyaRegion,OmoNadaWoreda,36591,196772.0,28954,4.859856248804351,17516.0,12318.0,29834.0,4788,430.0,292.0,15973,1183.0,13732.0,9852,2549.0,2226.0,81521,48486.0,44232.0,24960.0,81521,883.0,10.0,36.0,15.0,5.38
OromiyaRegion,YayoWoreda,14389,58282.0,10697,3.8512057821947323,3465.0,2953.0,6418.0,921,20.0,21.0,4529,192.0,2984.0,2387,583.0,442.0,27389,9802.0,8193.0,93649827.0,27389,732.0,27.0,110.0,34.0,4.05
TigrayRegion,AbergeleYechilaWoreda,1,5.0,0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.0,0.0,4,4.0,4.0,4.0,4,0.0,0.0,0.0,0.0,5.0
TigrayRegion,Abergele_Yechila,15343,73619.0,13775,10.915596689043864,7456.0,6259.0,13715.0,2492,174.0,148.0,5372,1633.0,4991.0,3029,1575.0,897.0,38808,13442.0,21800.0,14941.0,38808,1015.0,10.0,7.0,3.0,4.8
TigrayRegion,Adwa,24288,110081.0,20366,5.677248023715415,7167.0,5940.0,13107.0,2145,61.0,50.0,7813,619.0,6529.0,5020,1245.0,877.0,71587,58393.0,43670.0,1852559140.0,71587,6011.0,470.0,373.0,270.0,4.53
TigrayRegion,Ahferom,17617,76246.0,16373,4.47562013963785,5259.0,4196.0,9455.0,1505,38.0,39.0,5310,683.0,4547.0,3645,734.0,494.0,50462,39063.0,94858277.0,2357.0,50462,5145.0,103.0,288.0,42.0,4.33
TigrayRegion,Egela,5990,26447.0,2618,9.454924874791319,2308.0,1656.0,3964.0,689,23.0,23.0,2577,112.0,1795.0,1322,343.0,270.0,13527,9569.0,9141.0,6635.0,13527,867.0,56.0,15.0,29.0,4.42
TigrayRegion,Emba_Alaje,13689,60099.0,12432,3.536343049163562,4832.0,4319.0,9151.0,1158,54.0,55.0,5444,495.0,3704.0,2487,980.0,570.0,35943,30731.0,933367327.0,93352789.0,35943,1955.0,59.0,146.0,138.0,4.39
